1,0,
2,12675,
3,12676,
4,12677,
5,12677,
6,12678,
7,12679,
8,12679,
9,12679,
10,12685,
11,12695,
12,12705,
13,12716,
14,12727,
15,12737,
16,12747,
17,12758,
16,12768,
15,12778,
16,12788,
17,12800,
18,12810,
17,12820,
16,12830,
17,12840,
18,12851,
19,12862,
20,12872,
19,12882,
18,12893,
19,12903,
20,12913,
21,12923,
22,12935,
21,12945,
20,12955,
19,12965,
20,12976,
21,12986,
22,12997,
23,13007,
22,13018,
21,13028,
20,13038,
19,13048,
20,13060,
21,13070,
22,13080,
23,13090,
22,13101,
21,13111,
20,13121,
19,13132,
20,13143,
21,13153,
22,13163,
23,13173,
22,13184,
21,13195,
20,13205,
21,13215,
22,13225,
23,13236,
24,13246,
23,13256,
22,13267,
21,13278,
20,13288,
19,13298,
20,13308,
21,13319,
22,13330,
23,13340,
22,13350,
21,13361,
20,13371,
19,13381,
20,13392,
21,13403,
22,13413,
23,13423,
22,13433,
21,13444,
20,13454,
19,13465,
18,13475,
19,13486,
20,13496,
21,13506,
22,13516,
21,13528,
20,13538,
19,13548,
18,13558,
19,13569,
20,13579,
21,13589,
22,13600,
21,13611,
20,13621,
19,13631,
18,13641,
19,13651,
20,13663,
21,13673,
22,13683,
21,13693,
20,13704,
19,13714,
20,13725,
21,13735,
22,13746,
23,13756,
22,13766,
21,13776,
20,13787,
19,13798,
20,13808,
21,13818,
22,13829,
21,13839,
20,13849,
19,13860,
18,13871,
19,13881,
20,13891,
21,13901,
22,13912,
23,13922,
22,13933,
21,13943,
20,13954,
19,13964,
18,13974,
19,13984,
20,13996,
21,14006,
22,14016,
21,14026,
20,14036,
19,14047,
18,14058,
19,14068,
20,14078,
21,14089,
22,14099,
21,14109,
20,14119,
19,14131,
18,14141,
19,14151,
20,14161,
21,14172,
22,14182,
23,14193,
22,14203,
21,14214,
20,14224,
19,14234,
20,14244,
21,14255,
22,14266,
23,14276,
22,14286,
21,14297,
20,14307,
19,14317,
18,14328,
19,14339,
20,14349,
21,14359,
22,14369,
21,14380,
20,14391,
19,14401,
18,14411,
19,14422,
20,14432,
21,14442,
22,14452,
21,14464,
20,14474,
19,14484,
18,14494,
19,14504,
20,14515,
21,14526,
22,14536,
21,14546,
20,14557,
19,14567,
18,14577,
19,14587,
20,14599,
21,14609,
22,14619,
21,14629,
20,14640,
19,14650,
18,14661,
19,14671,
20,14682,
21,14692,
22,14702,
21,14712,
20,14724,
19,14734,
18,14744,
17,14754,
18,14765,
19,14775,
20,14785,
21,14796,
20,14807,
19,14817,
18,14827,
17,14837,
18,14848,
19,14859,
20,14869,
21,14879,
20,14889,
19,14900,
18,14910,
17,14920,
18,14931,
19,14942,
20,14952,
21,14962,
20,14972,
19,14983,
18,14994,
17,15004,
18,15014,
19,15025,
20,15035,
21,15045,
20,15056,
19,15067,
18,15077,
17,15087,
16,15097,
17,15108,
18,15118,
19,15129,
20,15139,
19,15150,
18,15160,
17,15170,
18,15180,
19,15192,
20,15202,
21,15212,
22,15222,
21,15233,
20,15243,
19,15253,
18,15264,
19,15275,
20,15285,
21,15295,
22,15305,
21,15315,
20,15327,
